Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Height,Group,>3.5,2.5-3.5,2—2.5,<2,,,,,Height,Group,>3.5,2.5-3.5,2—2.5,<2
,,,,,P4,16,451,719,814,,,,,,P4,0.8,22.55,35.95,40.7
,,,,,P6,21,712,828,439,,,,,,P6,1.05,35.6,41.4,21.95
,,,,,P8,34,621,1087,258,,,,,,P8,1.7,31.05,54.35,12.9
,,,,,P10,148,760,707,385,,,,,,P10,7.4,38,35.35,19.25
,,,,,,,,,,,,,,,,,,,
,,,,Aspect ratio,Group,>4,3—4,2—3,<2,,,,,Aspect ratio,Group,>4,3—4,2—3,<2
,,,,,P4,517,998,501,0,,,,,,P4,25.85,49.9,25.05,0
,,,,,P6,462,693,786,59,,,,,,P6,23.1,34.65,39.3,2.95
,,,,,P8,259,879,842,20,,,,,,P8,12.95,43.95,42.1,1
,,,,,P10,139,731,947,183,,,,,,P10,6.95,36.55,47.35,9.15
,,,,,,,,,,,,,,,,,,,
,,,,Roughness,Group,>250,200-250,100—200,<100,,,,,Roughness,Group,>250,200-250,100—200,<100
,,,,,P4,169,429,1397,5,,,,,,P4,8.45,21.45,69.85,0.25
,,,,,P6,47,207,1615,131,,,,,,P6,2.35,10.35,80.75,6.55
,,,,,P8,22,101,1556,321,,,,,,P8,1.1,5.05,77.8,16.05
,,,,,P10,0,9,1474,517,,,,,,P10,0,0.45,73.7,25.85
,,,,,,,,,,,,,,,,,,,
,,,,Adhesion,Group,>600,500-600,400—500,<400,,,,,Adhesion,Group,>600,500-600,400—500,<400
,,,,,P4,27,825,1008,140,,,,,,P4,1.35,41.25,50.4,7
,,,,,P6,18,1466,516,0,,,,,,P6,0.9,73.3,25.8,0
,,,,,P8,82,1704,214,0,,,,,,P8,4.1,85.2,10.7,0
,,,,,P10,1611,387,2,0,,,,,,P10,80.55,19.35,0.1,0
,,,,,,,,,,,,,,,,,,,
,,,,Elasticmodulues,Group,>10,6-10,4—6,<4,,,,,Elasticmodulues,Group,>10,6-10,4—6,<4
,,,,,P4,0,36,96,1868,,,,,,P4,0,1.8,4.8,93.4
,,,,,P6,0,91,851,1058,,,,,,P6,0,4.55,42.55,52.9
,,,,,P8,0,224,1507,269,,,,,,P8,0,11.2,75.35,13.45
,,,,,P10,359,1233,408,0,,,,,,P10,17.95,61.65,20.4,0
